ID: 75, First Name: Andre, Last Name: Porfirio, Nick Name: Dedé, Team: Nova Uniao
ID: 76, First Name: Andre, Last Name: Quiles, Nick Name: , Team: Fight Sports
ID: 77, First Name: Andre, Last Name: Terencio, Nick Name: , Team: 
ID: 78, First Name: Andressa, Last Name: Cintra, Nick Name: Negao, Team: Brazil 021
ID: 79, First Name: Andrew, Last Name: Wiltse, Nick Name: , Team: Checkmat
ID: 80, First Name: Andrew, Last Name: Tackett, Nick Name: , Team: Pedigo Submission Fighting
ID: 81, First Name: Andy, Last Name: Murasaki, Nick Name: , Team: Brazilian Fight Factory
ID: 82, First Name: Andy, Last Name: Varela, Nick Name: , Team: Atos
ID: 83, First Name: Angelica, Last Name: Galvao, Nick Name: , Team: 10th Planet
ID: 84, First Name: Angelo, Last Name: Claiborne, Nick Name: , Team: Atos
ID: 85, First Name: Anna, Last Name: Rodrigues, Nick Name: , Team: Team Lloyd Irvin
ID: 86, First Name: Anthony, Last Name: Pacenski, Nick Name: , Team: Dream Art Project / Alliance
ID: 87, First Name: Anthony, Last Name: Perosh, Nick Name: Tony, Team: BJJ Revolution
ID: 88, First Name: Anthony, Last Name: Scales, Nick Name: The Hippo, Team: Machado JJ
ID: 89, First Name: Antonio Carlos, Last Name: Junior, Nick Name: AJ, Team: Nova Uniao
ID: 90, First Name: Antonio, Last Name: de Melo, Nick Name: Cara de Sapato, Shoe Face, Team: Checkmat
ID: 91, First Name: Antonio, Last Name: Peinado , Nick Name: , Team: Brazil 021
ID: 92, First Name: Antonio Roberto, Last Name: Crivelari, Nick Name: Batista, Team: Alliance
ID: 93, First Name: Antonio Rodrigo, Last Name: Nogueira, Nick Name: Juninho, Team: Checkmat
ID: 94, First Name: Antonio, Last Name: Schembri, Nick Name: Minotauro, Team: 
ID: 95, First Name: Antonio, Last Name: Braga Neto, Nick Name: Nino, Team: 
ID: 96, First Name: Arlisson, Last Name: Melo, Nick Name: , Team: Gordo JJ
ID: 97, First Name: Arthur, Last Name: Detanico, Nick Name: Kiki, Team: Nova Uniao
ID: 98, First Name: Ariel, Last Name: Tabak, Nick Name: , Team: JA BJJ
ID: 99, First Name: Ary, Last Name: Farias, Nick Name: , Team: 
ID: 100, First Name: Arya, Last Name: Esfandmaz, Nick Name: Aryzinho, Team: Atos
ID: 101, First Name: Armando, Last Name: Wridt, Nick Name: , Team: Pure JJ
ID: 102, First Name: Ashley, Last Name: Williams, Nick Name: Dedinho, Team: Gracie JJ
ID: 103, First Name: Augusto, Last Name: Ferrari, Nick Name: , Team: Chris Rees JJ
ID: 104, First Name: Augusto, Last Name: Mendes, Nick Name: , Team: 
ID: 105, First Name: Augusto, Last Name: Monteiro, Nick Name: Tanquinho, Team: Soul Fighters
ID: 106, First Name: Aurelie, Last Name: Le Vern, Nick Name: , Team: Associação Monteiro
ID: 107, First Name: Austin, Last Name: Baker, Nick Name: , Team: Gracie Humaita
ID: 108, First Name: Baret, Last Name: Yoshida, Nick Name: , Team: Gracie Barra
ID: 109, First Name: Beatriz, Last Name: Mesquita, Nick Name: , Team: Undisputed
ID: 110, First Name: Ben, Last Name: Baxter, Nick Name: , Team: Gracie Humaita
ID: 111, First Name: Bernardo, Last Name: Faria, Nick Name: , Team: Gracie Humaita
ID: 112, First Name: Bernardo, Last Name: Pitel, Nick Name: , Team: Alliance
ID: 113, First Name: Bianca, Last Name: Andrade, Nick Name: , Team: Nova Uniao
ID: 114, First Name: Bibiano, Last Name: Fernandes, Nick Name: , Team: Gracie Barra
ID: 115, First Name: Bill, Last Name: Cooper, Nick Name: , Team: Gracie Barra
ID: 116, First Name: Brandon, Last Name: Walensky, Nick Name: The Grill, Team: 
ID: 117, First Name: Brenda, Last Name: Heller, Nick Name: , Team: Clark Gracie Academy
ID: 118, First Name: Brenda, Last Name: Larissa, Nick Name: , Team: GD Jiu Jitsu
ID: 119, First Name: Bianca, Last Name: Basilio, Nick Name: , Team: Escola Melqui Galvão
ID: 120, First Name: Jay Dee, Last Name: Penn, Nick Name: , Team: Almeida JJ
ID: 121, First Name: Brandon, Last Name: Mullins, Nick Name: BJ, The Prodigy, Team: 
ID: 122, First Name: Braulio, Last Name: Estima, Nick Name: Wolverine, Team: Gracie Barra
ID: 123, First Name: Brian, Last Name: Beauchamp, Nick Name: Carcara, Team: Gracie Barra
ID: 124, First Name: Brian, Last Name: Beaury, Nick Name: , Team: Equipe Fabricio
ID: 125, First Name: Brian, Last Name: Giorgio, Nick Name: , Team: Brian Beaury BJJ
ID: 126, First Name: Brianna, Last Name: Ste-Marie, Nick Name: , Team: Alliance
ID: 127, First Name: Bruno, Last Name: Alves, Nick Name: , Team: BTT
ID: 128, First Name: Bruno, Last Name: Amorim, Nick Name: , Team: Gracie Barra
ID: 129, First Name: Bruno, Last Name: Barbosa, Nick Name: Robinho, Team: Gracie Barra
ID: 130, First Name: Bruno, Last Name: Bastos, Nick Name: , Team: 
ID: 131, First Name: Bruno, Last Name: de Paula , Nick Name: , Team: Nova Uniao
ID: 132, First Name: Bruno, Last Name: Ferreira, Nick Name: , Team: Alliance
ID: 133, First Name: Bruno, Last Name: Frazatto, Nick Name: , Team: Nova Geracao
ID: 134, First Name: Bruno, Last Name: Lima, Nick Name: , Team: Atos
ID: 135, First Name: Bruno, Last Name: Malfacine, Nick Name: , Team: AMA BJJ
ID: 136, First Name: Bruno, Last Name: Matias, Nick Name: Bad Boy, Team: Alliance
ID: 137, First Name: Jose Bruno, Last Name: Matias, Nick Name: , Team: Checkmat
ID: 138, First Name: Bruno, Last Name: Mendes, Nick Name: , Team: Gracie Barra
ID: 139, First Name: Caio, Last Name: Almeida, Nick Name: Tanque or Tank, Team: Soul Fighters
ID: 140, First Name: Caio, Last Name: Caetano, Nick Name: , Team: Almeida JJ
ID: 141, First Name: Caio, Last Name: Paganini, Nick Name: , Team: 
ID: 142, First Name: Caio, Last Name: Terra, Nick Name: , Team: Alliance
ID: 143, First Name: Caio, Last Name: Vinicius Santos, Nick Name: , Team: CTBJJA
ID: 144, First Name: Carina, Last Name: Santi, Nick Name: , Team: Gracie Barra
